ST_FIPS,state,city_name,url
157048,Alabama,Opelika,www.opelika.org
500970,Arkansas,Alma city,cityofalma.org
501870,Arkansas,Arkadelphia city,www.cityofarkadelphia.com
555310,Arkansas,Pine Bluff city,www.cityofpinebluff.com
611194,California,Carlsbad city,www.carlsbadca.gov
681344,California,Upland city,www.uplandpl.lib.ca.us
864200,Colorado,Ridgway town,www.town.ridgway.co.us
870580,Colorado,Silverton,www.silverton.co.us
952070,Connecticut,New Haven town,www.cityofnewhaven.com
1264175,Florida,Sarasota,www.sarasotagov.org
1321072,Georgia,Cuthbert city,http://cityofcuthbert.com/
1345460,Georgia,Lavonia city,https://www.lavonia-ga.com/
1372584,Georgia,Sparta city,cityofspartaga.org
1378996,Georgia,Varnell city,www.cityofvarnell.com
1707744,Illinois,Bradley village,il-bradley.civicplus.com
1733383,Illinois,Harvey city,www.cityofharvey.org
1748021,Illinois,Mechanicsburg village,"NA"
1769888,Illinois,Sidney township,"NA"
1781087,Illinois,Wheeling,www.vi.wheeling.il.us
1842462,Indiana,Lawrenceburg city,lawrenceburg-in.com
1865214,Indiana,Rochester city,rochester.itright.biz
1901585,Iowa,Alton city,altoniowa.org
2054450,Kansas,Park City city,www.parkcityks.com
2132572,Kentucky,Grayson,www.graysonky.net
2173110,Kentucky,Stanford,www.stanfordky.org
2205000,Louisiana,Baton Rouge city,brgov.com
2207030,Louisiana,Bernice town,"NA"
2222019,Louisiana,Calcasieu Parish,www.cppj.net
2358445,Maine,Phillips town,www.phillipsmaine.com
2512995,Massachusetts,Chatham town,www.town.chatham.ma.us
2614800,Michigan,Charlevoix township,www.charlevoixtownship.com
2634560,Michigan,Grattan township,www.grattantownship.org
2642820,Michigan,Kentwood,www.ci.kentwood.mi.us
2657760,Michigan,Niles city,www.ci.niles.mi.us
2662020,Michigan,Oxford,www.villageofoxford.org
2712700,Minnesota,Columbia Heights,www.ci.columbia-heights.mn.us
2758648,Minnesota,Sauk Centre,www.ci.sauk-centre.mn.us
2808820,Mississippi,Brookhaven city,brookhavenms.com
2909838,Missouri,Burlington Junction city,"NA"
3111825,Nebraska,Curtis,www.curtis-ne.com
3139695,Nebraska,Ponca city,"NA"
3312260,New Hampshire,Chesterfield town,nhchesterfield.com
3440440,New Jersey,Lindenwold borough,www.lindenwold.net
3601000,New York,Albany city,www.albanyny.org
3605771,New York,Bellport village,www.bellportvillage.org
3611000,New York,Buffalo city,www.ci.buffalo.ny.us
3616749,New York,Cohoes city,www.cohoes.com
3628618,New York,Geneseo village,www.geneseony.org
3628640,New York,Geneva city,visitgenevany.com
3684000,New York,Yonkers city,www.cityofyonkers.com
3736060,North Carolina,Kitty Hawk,www.townofkittyhawk.org
3742860,North Carolina,Midway town,www.midway-nc.gov
3901637,Ohio,Amanda township,"NA"
4001700,Oklahoma,Altus city,cityofaltus.org
4007350,Oklahoma,Bokchito town,www.bokchito.org
4110750,Oregon,Canby city,www.ci.canby.or.us
4208048,Pennsylvania,Bradford township,bradfordtwpmckeancnty.jimdo.com
4223304,Pennsylvania,Ellwood City borough,www.ecboro.com
4263624,Pennsylvania,Reading city,www.readingpa.gov
4267120,Pennsylvania,Saegertown borough,"NA"
4617620,South Dakota,Eagle Butte city,www.eaglebuttesd.com
4719380,Tennessee,Dandridge town,townofdandridge.com
4774540,Tennessee,Tiptonville,www.tiptonville.org
4804000,Texas,Arlington city,www.arlington-tx.gov
4824912,Texas,Everman city,www.evermantx.net
4826604,Texas,Forney city,www.cityofforney.org
4840264,Texas,Lago Vista,lagovista.org
4963680,Utah,Richmond,richmond-utah.com
5103368,Virginia,Ashland town,www.town.ashland.va.us
5111032,Virginia,Buena Vista city,www.bvcity.org
5313855,Washington,College Place city,www.ci.college-place.wa.us
5512200,Wisconsin,Cambria village,www.cambriawisconsin.com
5519775,Wisconsin,De Pere city,www.de-pere.org
5581100,Wisconsin,Turtle Lake town,www.villageofturtlelake.com
5645050,Wyoming,Laramie,www.ci.laramie.wy.us
